base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,PatchTST-Tuned,trained deep,24,1 d,MAE,24,0.21110794348326048,0.26084370242398786,-0.04973575894072737,19.067264602725384,13.410413478404577,24.01916350346533,0.0,-6.130010135188603,2.973618889789975e-06,True,True,23
Chronos2-ZS,PatchTST-Tuned,trained deep,48,2 d,MASE,24,0.6668431302730689,0.8058176626827592,-0.13897453240969052,17.246399383579053,13.378704463762002,21.045505103586912,0.0,-5.989522719427284,4.160034160261006e-06,True,True,23
Chronos2-ZS,PatchTST-Tuned,trained deep,48,2 d,MAE,24,0.21628921618847488,0.26212504346426785,-0.045835827275792974,17.486244988278344,13.641900930373355,21.40746251616971,0.0,-6.257085931625345,2.1989205276629065e-06,True,True,23
Chronos2-ZS,PatchTST-Tuned,trained deep,72,3 d,MASE,24,0.6670011520667843,0.8103588162520206,-0.1433576641852364,17.690640406465615,14.968487881693486,20.46621756545845,0.0,-7.204605610946882,2.4632285988701597e-07,True,True,24
Chronos2-ZS,PatchTST-Tuned,trained deep,72,3 d,MAE,24,0.2174327787558811,0.26379899979685517,-0.04636622104097408,17.576344518621948,14.739859676803242,20.529986362015553,0.0,-6.234157810015627,2.3216714457596765e-06,True,True,24
Chronos2-ZS,PatchTST-Tuned,trained deep,168,7 d,MASE,24,0.6652976708299781,0.8152218679283653,-0.14992419709838703,18.39060052196258,17.051807512227228,19.783930469316065,0.0,-12.214664824415388,1.5502266137445986e-11,True,True,24
Chronos2-ZS,PatchTST-Tuned,trained deep,168,7 d,MAE,24,0.2197993179577634,0.2687312212217287,-0.04893190326396533,18.208492128866514,16.595384388082724,20.016635119033516,0.0,-7.198857961217624,2.495299169513743e-07,True,True,24
Chronos2-ZS,PatchTST,trained deep,6,6 h,MASE,24,0.596173475223719,0.7680426732986024,-0.17186919807488332,22.377558441738223,15.789661764451704,29.883785960794867,0.0,-5.98646667598866,4.190626978317624e-06,True,True,24
Chronos2-ZS,PatchTST,trained deep,6,6 h,MAE,24,0.1958597924489299,0.2543381860397454,-0.0584783935908155,22.992376607450165,16.560835871387795,30.431550049461134,0.0,-6.39451715986598,1.5898506984246552e-06,True,True,23
Chronos2-ZS,PatchTST,trained deep,12,12 h,MASE,24,0.627832870455817,0.8232823078744474,-0.19544943741863038,23.740269352227703,17.6154463693705,29.623823725623303,0.0,-7.535047174680271,1.1794965848466177e-07,True,True,23
